"Time","Concentration","sd"
0.042,1.39621016949153,1.68237211049478
0.083,2.66145,2.15286609457868
0.125,3.73466101694915,2.88253121291932
0.167,3.9749,2.83760162335754
0.25,4.70423728813559,2.57233772879834
0.333,5.3698275862069,2.5836941398603
0.5,5.56948275862069,2.30176166127415
0.75,5.1851724137931,1.62905983151763
1,4.92241379310345,1.342324914709
1.5,4.23327586206897,1.08060637287189
2,3.77948275862069,0.914686069075438
